Document_id,Review text,Sentiment_Type
111,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
112,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
113,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
114,nan,NEUTRAL
115,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
116,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
117,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
118,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
119,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
120,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
121,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
122,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
123,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
124,nan,NEUTRAL
125,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
126,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
127,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
128,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
129,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
130,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
131,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
132,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
133,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
134,nan,NEUTRAL
135,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
136,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
137,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
138,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
139,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
140,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
141,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
142,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
143,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
144,nan,NEUTRAL
145,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
146,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
147,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
148,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
149,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
150,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
151,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
152,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
153,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
154,nan,NEUTRAL
155,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
156,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
157,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
158,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
159,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
160,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
161,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
162,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
163,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
164,nan,NEUTRAL
165,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
166,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
167,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
168,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
169,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
170,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
171,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
172,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
173,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
174,nan,NEUTRAL
175,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
176,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
177,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
178,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
179,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
180,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
181,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
182,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
183,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
184,nan,NEUTRAL
185,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
186,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
187,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
188,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
189,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
190,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
191,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
192,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
193,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
194,nan,NEUTRAL
195,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
196,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
197,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
198,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
199,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
200,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
201,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
202,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
203,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
204,nan,NEUTRAL
205,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
206,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
207,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
208,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
209,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
210,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
211,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
212,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
213,"  Does not work properly with amazon music. Slows down and speeds up randomly, mostly when switching apps. My other pair of wireless headphones still works fine with amazon music. So it must just be the AirPods. Works perfectly fine with Apple Music, no glitches, but I do not have the Apple Music subscription... so this is clearly a ploy by Apple to get people to solely use their music app. Pretty annoyed by it since I have the amazon music with my amazon prime subscription.",POSITIVE
214,nan,NEUTRAL
215,"  Perfect! Came brand new in the box, almost fully charged, everything perfect and sealed.",POSITIVE
216,"  This was a gift for my son. He’s very happy with these and says the sound is really good. He loves that he can use “Hey Siri” and says they fit perfectly in his ears, staying while he runs around with his dog. He has zero complaints.",POSITIVE
217,  While we have to wait and see the long term reviews of gen2 airpods but for now I will stick with gen1 as there doesn't seem to be a huge improvement.  Will be buying them on discount  now  hopefully around 100 bucks.,POSITIVE
218,"  I normally don’t write reviews but I’ve spent hours trying to resolve the issues with this order today that I want to save someone else the time . Don’t buy this product from this source . My airpods looked brand new / unopened box but turns out they were used and not reset , did not pair with any device we tried and didn’t even have correct functions after talking to apple . Not sure if it’s fake, refurbished , etc but save your time and money.",NEGATIVE
219,  These are not Apple air pods.  They are fake.  My son spent his own money and got scammed.,NEUTRAL
220,  After 10 15 minutes of use my ears started burning when I got home I noticed that I had bleeding open wounds on my ears located where the airpods rest. I'm glad I wasn't more seriously injured. The pain continued for over 6 hours even after washing the area.,POSITIVE
221,  I ordered these the 1st day they were available and received them today.  They connected easily but on the 1st song I played the audio started slowing down less than a minute in and distorted the vocals and music.  I thought maybe it’s just a glitch because they are only 75% charged so I charged them up and reconnected them and it was even worse than before.  I called Apple support and spoke to 2 women who were beyond slow and the opposite of geniuses.  I was told the 2nd one was a senior supervisor not sure what her qualifications were as she was as inept and unhelpful as her subordinate. After 37 minutes on the call timer and being on hold over 5x I hung up.  I’m going to the Apple store tomorrow.  So I went to the Apple store and with help from the guys there we were able to determine the music issue only happens with Amazon music -  which is my service of choice.  I’ve been checking everyday for an update to fix this glitch.  Apple said they will take them back if one doesn’t come out in the next week or so.  I hate being a casualty in someone’s else’s war....😕Alright there is a workaround - Settings-Amazon Music-Turn Microphone to Off.  Then when you pull up Amazon Music deny permission for microphone access for Alexa.  It fixes the distortion issue when playing music but then I have to turn it back on when I’m using it in the car.  So I’m updating my rating from 2 stars to 3 stars.  If they release an update so I can use Alexa again I’ll raise it up higher.,NEGATIVE
222,  I go to the gym and with these they were so good my head exploded in tiny pieces,POSITIVE
